id,name,mark_id
3174,"911 Carrera S",208
3176,"911 Carrera 4",208
3178,"911 Carrera 4S",208
3179,Leon,231
3188,"508 GT",205
318800,"207 GT",205
3191,Toledo,231
3192,"EX EX25",114
3194,"EX EX35",114
3196,"EX EX37",114
3198,"M M25",114
319800,Fabia,236
3200,"M M37",114
3202,"M M56",114
3207,Felicia,236
3210,"M M45",114
3212,"M M35",114
3213,Octavia,236
3214,"FX FX35",114
3216,"FX FX45",114
3218,"FX FX37",114
3220,"FX FX30d",114
3222,Rapid,236
322200,"FX FX50",114
3224,Superb,236
322400,"QX QX56",114
3226,"QX QX4",114
3232,Chairman,243
323200,"G G20",114
3234,"G G25",114
3236,"G G35",114
3238,"G G37",114
323800,Rexton,243
3241,Baja,246
3242,"I I30",114
3244,"I I35",114
3246,Domingo,246
3249,Forester,246
3253,Impreza,246
3262,Justy,246
3267,Legacy,246
3268,"Forester tS",246
3270,"Voyager Grand Voyager",50
3274,"FX FX Vettel Edition",114
3278,Leone,246
3284,"XE S",125
328400,Pleo,246
328401,"F-Type S",125
3287,SVX,246
3288,"Roadster Brabus",237
3289,Traviq,246
3291,Vivio,246
3295,Aerio,247
3303,"Grand Vitara",247
3308,Ignis,247
3310,Jimny,247
3315,Liana,247
3316,"Mulsanne Speed",25
331600,"Continental GT Speed",25
3318,"Continental GT Supersports",25
3320,"4200 GT GranSport",164
332000,"MR Wagon",247
3324,Swift,247
3332,"1102 «Таврия» 1140",296
333200,X-90,247
3338,"968 М",296
3340,"968 А",296
3355,Aria,251
3360,Indica,251
3364,Sumo,251
3367,T613,252
3384,4Runner,260
3389,Allion,260
3391,Altezza,260
3394,Aristo,260
3397,Avalon,260
3400,Avensis,260
3401,"Avensis Verso",260
3404,"458 Italia",79
3412,bB,260
3419,Brevis,260
3421,Caldina,260
3426,Cami,260
3427,Camry,260
3434,"F430 Scuderia",79
3436,"DB7 Vantage",14
3444,Carina,260
3456,"V8 Vantage S",14
3460,"1105 «Дана» 1105",296
3461,Celica,260
3462,"1102 «Таврия» 1102",296
3464,"1102 «Таврия» 110207",296
3466,"1102 «Таврия» 110218",296
3471,Chaser,260
3474,"2717 27171",299
3476,Corolla,260
347600,"2717 27175",299
3477,"Corolla Verso",260
3478,"2125 «Комби» 2125",299
3480,"2125 «Комби» 21251",299
3486,"2126 «Ода» Ника",299
3516,Corona,260
3518,"21 «Волга» 21В",292
3520,"21 «Волга» 21Л",292
3522,"21 «Волга» 21Р",292
3526,"21 «Волга» 21Г",292
3530,Cresta,260
3535,Crown,260
3544,"24 «Волга» 24",292
3546,"24 «Волга» 2401",292
3548,"24 «Волга» 2402",292
3550,"24 «Волга» 2404",292
3552,"24 «Волга» 2407",292
3554,Curren,260
3555,Cynos,260
3556,"24 «Волга» 2410",292
3558,"24 «Волга» 2411",292
3560,"24 «Волга» 2412",292
356000,Duet,260
3562,Gaia,260
3563,Harrier,260
3565,Highlander,260
3566,"24 «Волга» 2417",292
3568,"24 «Волга» 2434",292
356800,Ipsum,260
3572,Kluger,260
3573,"Land Cruiser",260
3585,"Mark II",260
3590,"2140 2140",316
3592,"2140 21406",316
3596,"Mega Cruiser",260
3597,MR2,260
3602,Nadia,260
3603,Opa,260
3607,Paseo,260
3611,Picnic,260
3614,Platz,260
361400,"2141 2141",316
3616,Premio,260
361600,"2141 21412",316
3618,"2141 2141-10",316
3619,Previa,260
3622,Prius,260
362200,"2141 21412-01",316
3624,"2141 2141-01",316
3626,"Святогор 214122",316
362600,"2141 214122",316
3627,Progres,260
3628,"2141 214123",316
3631,Raum,260
3633,"RAV 4",260
3640,Scepter,260
364000,"Святогор 214100",316
3642,"Святогор 214145",316
3643,Sequoia,260
3647,Sera,260
3648,Sienna,260
3652,Soarer,260
